study,symbol,date,strategy,maker_fee_rate,latency_ms,realized_spread,inventory_revaluation,fee_cost,net_pnl
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,10,-78.05363034998712,-1328.5136596500156,2231.1557906875405,-3637.723080687543
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,10,-78.05363034998712,-1328.5136596500156,1115.5778953437703,-2522.145185343773
crypto,BTCUSDT,2025-07-01,symmetric,0.0,10,-78.05363034998712,-1328.5136596500156,0.0,-1406.5672900000027
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,10,-78.05363034998712,-1328.5136596500156,-557.7889476718851,-848.7783423281176
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,50,-88.30791384998544,-1260.6387860000177,2181.4347130259002,-3530.381412875903
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,50,-88.30791384998544,-1260.6387860000177,1090.7173565129501,-2439.6640563629535
crypto,BTCUSDT,2025-07-01,symmetric,0.0,50,-88.30791384998544,-1260.6387860000177,0.0,-1348.9466998500031
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,50,-88.30791384998544,-1260.6387860000177,-545.3586782564751,-803.5880215935281
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,200,-75.55614574998924,-1172.375289850016,2046.7366060438,-3294.6680416438057
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,200,-75.55614574998924,-1172.375289850016,1023.3683030219,-2271.2997386219054
crypto,BTCUSDT,2025-07-01,symmetric,0.0,200,-75.55614574998924,-1172.375289850016,0.0,-1247.9314356000054
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,200,-75.55614574998924,-1172.375289850016,-511.68415151095,-736.2472840890555
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,10,0.4383020000000877,-6.192151600000133,3.0368545326800005,-8.790704132680045
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,10,0.4383020000000877,-6.192151600000133,1.5184272663400002,-7.272276866340045
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,10,0.4383020000000877,-6.192151600000133,0.0,-5.753849600000045
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,10,0.4383020000000877,-6.192151600000133,-0.7592136331700001,-4.994635966830045
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,50,0.4830471499998928,-8.684547300000022,3.46683520508,-11.66833535508013
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,50,0.4830471499998928,-8.684547300000022,1.73341760254,-9.934917752540128
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,50,0.4830471499998928,-8.684547300000022,0.0,-8.201500150000129
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,50,0.4830471499998928,-8.684547300000022,-0.86670880127,-7.334791348730129
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,200,0.5109609000002558,-9.494558599999888,5.058174351540001,-14.041772051539631
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,200,0.5109609000002558,-9.494558599999888,2.5290871757700004,-11.512684875769631
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,200,0.5109609000002558,-9.494558599999888,0.0,-8.983597699999631
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,200,0.5109609000002558,-9.494558599999888,-1.2645435878850002,-7.719054112114631
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,10,171.06528450001574,-1035.0975718500138,1430.5728330848,-2294.605120434798
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,10,171.06528450001574,-1035.0975718500138,715.2864165424,-1579.318703892398
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,10,171.06528450001574,-1035.0975718500138,0.0,-864.032287349998
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,10,171.06528450001574,-1035.0975718500138,-357.6432082712,-506.389079078798
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,50,147.59983480001497,-991.7652241000126,1405.2952458470202,-2249.460635147018
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,50,147.59983480001497,-991.7652241000126,702.6476229235101,-1546.8130122235077
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,50,147.59983480001497,-991.7652241000126,0.0,-844.1653892999976
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,50,147.59983480001497,-991.7652241000126,-351.32381146175504,-492.8415778382426
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,200,118.62349900000865,-932.6691211500115,1340.9793643377202,-2155.0249864877233
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,200,118.62349900000865,-932.6691211500115,670.4896821688601,-1484.535304318863
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,200,118.62349900000865,-932.6691211500115,0.0,-814.0456221500028
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,200,118.62349900000865,-932.6691211500115,-335.24484108443005,-478.8007810655728
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,10,173.48021945001423,-1026.3134504000134,1413.9275251202803,-2266.7607560702795
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,10,173.48021945001423,-1026.3134504000134,706.9637625601401,-1559.7969935101391
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,10,173.48021945001423,-1026.3134504000134,0.0,-852.8332309499991
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,173.48021945001423,-1026.3134504000134,-353.48188128007007,-499.35134966992905
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,50,151.59478740001617,-1008.4488464500132,1406.9991266900602,-2263.853185740057
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,50,151.59478740001617,-1008.4488464500132,703.4995633450301,-1560.353622395027
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,50,151.59478740001617,-1008.4488464500132,0.0,-856.854059049997
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,151.59478740001617,-1008.4488464500132,-351.74978167251504,-505.10427737748194
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,200,104.91236635001306,-939.0638435000134,1381.1204807287002,-2215.2719578787005
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,200,104.91236635001306,-939.0638435000134,690.5602403643501,-1524.7117175143503
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0,200,104.91236635001306,-939.0638435000134,0.0,-834.1514771500003
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,104.91236635001306,-939.0638435000134,-345.28012018217504,-488.8713569678253
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,10,-90.32165730001563,-1408.332627400012,2402.4997410832,-3901.1540257832276
