study,symbol,date,strategy,package_version,native_queue_model,external_queue_model,matched_queue_model,native_fill_policy,external_fill_policy,native_fill_count,external_fill_count,absolute_difference_fill_count,relative_difference_fill_count,native_filled_volume,external_filled_volume,absolute_difference_filled_volume,relative_difference_filled_volume,native_net_pnl,external_net_pnl,absolute_difference_net_pnl,relative_difference_net_pnl,study_cancellation_rule,study_fill_count,study_net_pnl
external_crosscheck,BTCUSDT,2025-07-07,symmetric,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,21037.0,15937.0,-5100.0,-0.24243000427817654,69.92030700000001,159.37000000000003,89.44969300000002,1.2793092141314542,-2557.803873202126,-5459.900257799943,-2902.0963845978167,-1.134604734554831,cancel-from-back,28830.0,-3271.132330293767
external_crosscheck,BTCUSDT,2025-07-07,glft_gamma_0.0001,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,28946.0,9829.0,-19117.0,-0.6604366751882816,59.741729,98.29000000001338,38.54827100001338,0.6452486669746933,-2077.1417029810355,-3158.98119219998,-1081.8394892189444,-0.5208308550477463,cancel-from-back,28948.0,-2090.1923808039246
external_crosscheck,BTCUSDT,2025-08-04,symmetric,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,23214.0,19117.0,-4097.0,-0.17648832601016629,65.855623,191.1699999999711,125.31437699997112,1.9028652572305196,-2469.971973129058,-6740.2243668000665,-4270.252393671009,-1.728866740241301,cancel-from-back,36568.0,-3437.146315381406
external_crosscheck,BTCUSDT,2025-08-04,glft_gamma_0.0001,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,37018.0,13845.0,-23173.0,-0.6259927602787833,69.282068,138.45000000001906,69.16793200001906,0.9983525895909902,-2481.589206752723,-4634.727897800023,-2153.1386910473,-0.8676450901657426,cancel-from-back,37469.0,-2496.8278270453566
external_crosscheck,BTCUSDT,2025-10-06,symmetric,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,32186.0,23819.0,-8367.0,-0.2599577456036786,118.36541100000001,238.18999999992835,119.82458899992834,1.0123277398996935,-5153.128452474836,-9421.409479399903,-4268.281026925067,-0.8282892744261374,cancel-from-back,43556.0,-6260.9063345735
external_crosscheck,BTCUSDT,2025-10-06,glft_gamma_0.0001,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,39370.0,15099.0,-24271.0,-0.6164846329692659,106.369135,150.99000000000765,44.620865000007655,0.4194907197469233,-4373.215605568124,-5810.88134959994,-1437.6657440318158,-0.32874339472340025,cancel-from-back,39274.0,-4376.353695687636
external_crosscheck,BTCUSDT,2026-01-05,symmetric,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,32062.0,30546.0,-1516.0,-0.04728338843490737,127.841882,305.4599999998672,177.6181179998672,1.3893578162426239,-4134.450339508611,-8966.015899399968,-4831.565559891357,-1.1686113420497874,cancel-from-back,46450.0,-5350.2830942204
external_crosscheck,BTCUSDT,2026-01-05,glft_gamma_0.0001,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,37567.0,24063.0,-13504.0,-0.3594644235632337,120.27187500000001,240.62999999992613,120.35812499992612,1.0007171252624616,-3639.243837421481,-6611.503503200037,-2972.2596657785557,-0.8167245171141089,cancel-from-back,37657.0,-3643.855006355174
external_crosscheck,BTCUSDT,2026-04-06,symmetric,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,53679.0,36413.0,-17266.0,-0.32165278786862644,174.641331,364.12999999981383,189.48866899981383,1.0850161752363983,-4010.0994736763364,-7782.747402600013,-3772.6479289236763,-0.9407866198054754,cancel-from-back,69221.0,-4888.94547132417
external_crosscheck,BTCUSDT,2026-04-06,glft_gamma_0.0001,2.4.4,trades-only,risk_adverse,True,partial,all_or_nothing,43440.0,25929.0,-17511.0,-0.4031077348066298,131.189359,259.2899999999092,128.1006409999092,0.9764560325346905,-2941.4966664078274,-5249.7785633999665,-2308.281896992139,-0.7847304140619769,cancel-from-back,43570.0,-2950.691305470177
