study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,10,1,34308,-0.026242955211612084
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,10,5,34308,-0.033553817965197484
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,10,30,34308,-0.03728205490701906
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,10,60,34308,-0.03799070506150226
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,10,1,34308,-0.026242955211612084
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,10,5,34308,-0.033553817965197484
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,10,30,34308,-0.03728205490701906
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,10,60,34308,-0.03799070506150226
crypto,BTCUSDT,2025-07-01,symmetric,0.0,10,1,34308,-0.026242955211612084
crypto,BTCUSDT,2025-07-01,symmetric,0.0,10,5,34308,-0.033553817965197484
crypto,BTCUSDT,2025-07-01,symmetric,0.0,10,30,34308,-0.03728205490701906
crypto,BTCUSDT,2025-07-01,symmetric,0.0,10,60,34308,-0.03799070506150226
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,10,1,34308,-0.026242955211612084
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,10,5,34308,-0.033553817965197484
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,10,30,34308,-0.03728205490701906
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,10,60,34308,-0.03799070506150226
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,50,1,33440,-0.02583434930173397
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,50,5,33440,-0.03329792050388737
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,50,30,33440,-0.03628764154605288
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,50,60,33440,-0.03684392944378042
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,50,1,33440,-0.02583434930173397
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,50,5,33440,-0.03329792050388737
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,50,30,33440,-0.03628764154605288
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,50,60,33440,-0.03684392944378042
crypto,BTCUSDT,2025-07-01,symmetric,0.0,50,1,33440,-0.02583434930173397
crypto,BTCUSDT,2025-07-01,symmetric,0.0,50,5,33440,-0.03329792050388737
crypto,BTCUSDT,2025-07-01,symmetric,0.0,50,30,33440,-0.03628764154605288
crypto,BTCUSDT,2025-07-01,symmetric,0.0,50,60,33440,-0.03684392944378042
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,50,1,33440,-0.02583434930173397
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,50,5,33440,-0.03329792050388737
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,50,30,33440,-0.03628764154605288
crypto,BTCUSDT,2025-07-01,symmetric,-5e-05,50,60,33440,-0.03684392944378042
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,200,1,32303,-0.024423746693805082
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,200,5,32303,-0.031839211146023436
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,200,30,32303,-0.034809428754295484
crypto,BTCUSDT,2025-07-01,symmetric,0.0002,200,60,32303,-0.035096606346160304
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,200,1,32303,-0.024423746693805082
crypto,BTCUSDT,2025-07-01,symmetric,0.0001,200,5,32303,-0.031839211146023436
